environnement,agent,episodes,graines,score_moyen,ecart_entre_graines,longueur_moyenne,ms_par_coup,taux_victoire
bobail,ddqn,1000,3,0.993,0.020,7.8,0.203,0.997
bobail,ddqn,10000,3,1.000,0.000,5.7,0.274,1.000
bobail,ddqn,100000,3,0.997,0.010,4.5,0.194,0.998
bobail,ddqn_er,1000,3,0.997,0.010,5.4,0.215,0.998
bobail,ddqn_er,10000,3,0.863,0.190,15.9,0.227,0.932
bobail,ddqn_er,100000,3,0.967,0.040,7.6,0.203,0.983
bobail,ddqn_per,1000,3,0.980,0.040,6.0,0.357,0.990
bobail,ddqn_per,10000,3,0.873,0.130,15.0,0.501,0.937
bobail,ddqn_per,100000,3,0.963,0.010,7.1,0.449,0.982
bobail,dqn,1000,3,-0.410,0.900,13.9,0.310,0.295
bobail,dqn,10000,3,1.000,0.000,6.3,0.287,1.000
bobail,dqn,100000,3,0.993,0.010,6.2,0.186,0.997
bobail,mcts_uct,1000,3,1.000,0.000,3.2,213.061,1.000
bobail,mcts_uct,10000,3,1.000,0.000,3.2,201.229,1.000
bobail,mcts_uct,100000,3,1.000,0.000,3.2,197.497,1.000
bobail,random,1000,3,0.023,0.050,10.8,0.027,0.512
bobail,random,10000,3,-0.047,0.200,10.4,0.028,0.477
bobail,random,100000,3,-0.020,0.060,9.9,0.022,0.490
bobail,random_rollout,1000,3,1.000,0.000,3.8,230.226,1.000
bobail,random_rollout,10000,3,1.000,0.000,3.8,230.319,1.000
bobail,random_rollout,100000,3,1.000,0.000,3.8,226.937,1.000
bobail,reinforce,1000,2,0.995,0.010,5.7,1.170,0.998
bobail,reinforce,10000,2,0.985,0.030,6.5,0.690,0.992
bobail,reinforce,100000,1,1.000,0.000,6.7,1.680,1.000
line_world,dqn,1000,1,1.000,0.000,2.0,0.214,1.000
line_world,dqn,10000,1,1.000,0.000,2.0,0.139,1.000
