environnement,agent,episodes,graines,score_moyen,ecart_entre_graines,longueur_moyenne,ms_par_coup,taux_victoire
bobail,ddqn,1000,3,-0.893,0.120,71.0,0.023,0.047
bobail,ddqn,10000,3,0.720,0.460,40.3,0.023,0.837
bobail,ddqn,100000,3,0.800,0.210,26.0,0.023,0.898
bobail,ddqn_er,1000,3,-0.848,0.055,58.3,0.022,0.065
bobail,ddqn_er,10000,3,0.557,0.010,40.8,0.023,0.775
bobail,ddqn_er,100000,3,0.980,0.030,12.1,0.023,0.990
bobail,ddqn_per,1000,3,-0.745,0.200,56.9,0.022,0.115
bobail,ddqn_per,10000,3,-0.332,0.320,78.3,0.022,0.332
bobail,ddqn_per,100000,3,0.967,0.030,13.6,0.022,0.983
bobail,dqn,1000,3,-0.723,0.340,67.6,0.023,0.118
bobail,dqn,10000,3,-0.853,0.270,27.0,0.022,0.072
bobail,dqn,100000,3,-0.632,1.060,38.4,0.023,0.178
bobail,mcts_uct,1000,3,-0.507,0.090,5.6,67.715,0.247
bobail,mcts_uct,10000,3,-0.533,0.030,5.4,67.523,0.233
bobail,mcts_uct,100000,3,-0.520,0.040,5.5,66.119,0.240
bobail,ppo,1000,3,0.673,0.305,43.7,0.030,0.827
bobail,ppo,10000,3,0.972,0.060,17.2,0.028,0.982
bobail,ppo,100000,3,1.000,0.000,9.7,0.028,1.000
bobail,random,1000,3,-0.997,0.010,7.2,0.004,0.002
bobail,random,10000,3,-0.997,0.010,7.7,0.004,0.002
bobail,random,100000,3,-0.997,0.010,7.6,0.004,0.002
bobail,random_rollout,1000,3,-0.640,0.120,4.7,65.052,0.180
bobail,random_rollout,10000,3,-0.690,0.110,4.7,66.136,0.155
bobail,random_rollout,100000,3,-0.687,0.050,4.6,66.720,0.157
bobail,reinforce,1000,3,-0.020,0.350,70.1,0.027,0.465
bobail,reinforce,10000,3,0.608,0.125,47.7,0.026,0.792
bobail,reinforce,100000,3,0.565,0.160,45.0,0.027,0.778
bobail,reinforce_baseline,1000,3,-0.453,0.280,88.8,0.026,0.263
bobail,reinforce_baseline,10000,3,-0.427,1.385,107.4,0.027,0.228
bobail,reinforce_baseline,100000,3,0.092,0.925,80.5,0.027,0.510
bobail,reinforce_critic,1000,3,0.318,0.545,65.7,0.027,0.647
bobail,reinforce_critic,10000,3,0.398,0.360,55.3,0.027,0.692
bobail,reinforce_critic,100000,3,0.863,0.170,22.2,0.026,0.932
