environnement,agent,episodes,graines,score_moyen,ecart_entre_graines,longueur_moyenne,ms_par_coup,taux_victoire
bobail,ddqn,1000,3,0.973,0.080,7.6,0.024,0.987
bobail,ddqn,10000,3,0.977,0.020,5.2,0.023,0.988
bobail,ddqn,100000,3,0.997,0.010,5.2,0.023,0.998
bobail,ddqn_er,1000,3,0.993,0.010,5.7,0.024,0.997
bobail,ddqn_er,10000,3,0.713,0.540,22.4,0.023,0.857
bobail,ddqn_er,100000,3,0.993,0.010,5.7,0.024,0.997
bobail,ddqn_per,1000,3,0.990,0.030,5.7,0.024,0.995
bobail,ddqn_per,10000,3,0.600,0.990,17.7,0.024,0.800
bobail,ddqn_per,100000,3,0.973,0.020,6.9,0.024,0.987
bobail,dqn,1000,3,0.450,1.160,18.7,0.025,0.725
bobail,dqn,10000,3,0.997,0.010,5.5,0.024,0.998
bobail,dqn,100000,3,1.000,0.000,4.8,0.024,1.000
bobail,mcts_uct,1000,3,1.000,0.000,3.2,58.423,1.000
bobail,mcts_uct,10000,3,1.000,0.000,3.2,58.062,1.000
bobail,mcts_uct,100000,3,1.000,0.000,3.2,57.714,1.000
bobail,ppo,1000,3,0.997,0.010,5.2,0.029,0.998
bobail,ppo,10000,3,1.000,0.000,4.4,0.029,1.000
bobail,ppo,100000,3,1.000,0.000,4.2,0.030,1.000
bobail,random,1000,3,0.023,0.050,10.8,0.005,0.512
bobail,random,10000,3,-0.047,0.200,10.4,0.005,0.477
bobail,random,100000,3,-0.020,0.060,9.9,0.004,0.490
bobail,random_rollout,1000,3,1.000,0.000,3.8,70.689,1.000
bobail,random_rollout,10000,3,1.000,0.000,3.8,70.153,1.000
bobail,random_rollout,100000,3,1.000,0.000,3.8,69.858,1.000
bobail,reinforce,1000,3,0.997,0.010,5.6,0.029,0.998
bobail,reinforce,10000,3,0.990,0.030,6.5,0.030,0.995
bobail,reinforce,100000,3,1.000,0.000,6.2,0.029,1.000
bobail,reinforce_baseline,1000,3,1.000,0.000,5.1,0.029,1.000
bobail,reinforce_baseline,10000,3,1.000,0.000,5.1,0.029,1.000
bobail,reinforce_baseline,100000,3,0.997,0.010,5.2,0.029,0.998
bobail,reinforce_critic,1000,3,1.000,0.000,5.7,0.029,1.000
bobail,reinforce_critic,10000,3,1.000,0.000,5.0,0.029,1.000
bobail,reinforce_critic,100000,3,0.990,0.000,6.5,0.029,0.995
